Date,Shirting Production (Meters),Suiting Production (Meters),Own Production (Meters),Sales (Meters),Customer Feedback Rating,Revenue (Rs),Cost (Rs),Profit (Rs),Inventory (Shirting Meters),Inventory (Suiting Meters),Inventory (Own Production Meters)
31-07-2019,1724.285124,1217.680417,2498.976502,1515.853211,5,235555.5029,185257.4096,50298.09323,-175.396015,-14948.03977,13305.90817
31-08-2019,1358.338216,694.9014696,1994.243596,1016.8503,2,491384.6905,106592.987,384791.7035,166.0919007,-15269.9886,14283.30147
30-09-2019,1591.60746,1356.52733,1730.948543,1359.511059,3,378225.0637,150390.3529,227834.7108,398.188301,-15272.97233,14654.73895
31-10-2019,1724.086054,1471.29279,2576.123972,1222.165502,2,235282.0136,186287.5054,48994.50817,900.108853,-15023.84504,16008.69742
30-11-2019,1015.568022,1384.484038,2575.349819,1017.233597,4,251923.5408,173514.291,78409.2498,898.4432772,-14656.5946,17566.81364
31-12-2019,1522.396003,1159.857925,1793.773454,1845.133993,1,345914.5835,62525.24691,283389.3366,575.7052872,-15341.87067,17515.4531
31-01-2020,1753.798864,251.863816,2315.987998,1942.561098,1,195280.5373,207121.8203,-11841.28298,386.9430539,-17032.56795,17888.88
29-02-2020,1409.206549,1152.396164,2863.2085,1008.085342,4,424058.1069,186031.3673,238026.7396,788.0642613,-16888.25713,19744.00316
31-03-2020,13917.45,0,19534,17111,4,4277842.5,2138921.25,2138921.25,0,0,19534
30-04-2020,1290.285768,838.4588879,1645.810808,1965.957636,4,452299.3913,178992.7706,273306.6207,-283.0179997,-19518.8118,19481.91487
31-05-2020,1965.186491,556.0613889,2178.067184,1995.888787,2,311834.7156,197970.8444,113863.8712,-313.7202955,-20958.6392,19664.09326
30-06-2020,1795.50633,1121.460044,2397.602173,1151.857084,3,345694.4835,90475.8376,255218.6459,329.9289498,-20989.03624,20909.83835
31-07-2020,1933.863856,837.6607177,2592.715166,1619.880951,1,332455.1531,210288.0551,122167.098,643.911855,-21771.25648,21882.67257
31-08-2020,1312.724906,643.2073523,1755.23936,1081.751489,4,367345.1921,196942.6581,170402.534,874.8852726,-22209.80061,22556.16044
30-09-2020,1914.03874,633.9441113,1827.747107,1617.940616,1,108342.7799,61467.18349,46875.59639,1170.983396,-23193.79712,22765.96693
31-10-2020,1984.550125,680.0434082,1964.867725,1122.292281,2,418012.7392,109574.7124,308438.0268,2033.241241,-23636.04599,23608.54237
30-11-2020,1169.794338,214.475337,2107.844488,1152.582039,4,412206.8688,116039.8433,296167.0255,2050.45354,-24574.15269,24563.80482
31-12-2020,1917.687535,1027.601511,2735.054464,1907.694049,3,362689.5614,225410.2308,137279.3307,2060.447026,-25454.24523,25391.16524
31-01-2021,1806.409751,1205.538663,1882.630938,1829.782809,1,471920.5749,200653.5038,271267.0711,2037.073969,-26078.48938,25444.01337
28-02-2021,1368.093429,626.2077582,2522.647966,1621.396531,3,105516.3551,73801.09629,31715.25883,1783.770867,-27073.67815,26345.2648
31-03-2021,15884.6,8769.65,26725,23052,1,5762932.68,2881466.34,2881466.34,13917.45,0,46259
30-04-2021,1419.834355,674.1326283,1636.356879,1631.351941,4,397715.0773,223589.159,174125.9183,1260.076647,-28229.38132,27068.00214
31-05-2021,1242.000122,434.083318,2822.419431,1223.108878,2,212465.8322,60672.40312,151793.4291,1278.967892,-29018.40688,28667.3127
30-06-2021,1418.147897,730.5834375,1523.867238,1846.210846,1,421109.4452,118201.788,302907.6572,850.9049428,-30134.03428,28344.96909
31-07-2021,1889.337211,1405.973682,1728.328926,1087.252453,2,421523.3874,51917.13941,369606.248,1652.9897,-29815.31306,28986.04556
31-08-2021,1105.363586,667.4399372,2966.295163,1516.023893,3,443383.1068,145374.9844,298008.1224,1242.329393,-30663.89701,30436.31683
30-09-2021,1969.30321,253.8168227,2998.756086,1753.815232,4,315146.2681,67038.81925,248107.4488,1457.817371,-32163.89542,31681.25768
31-10-2021,1834.837508,777.2060913,1722.749762,1002.385683,2,157693.8147,67323.62116,90370.19357,2290.269197,-32389.07501,32401.62176
30-11-2021,1046.248286,1229.610503,2146.722043,1689.635904,5,319159.191,60278.94457,258880.2464,1646.881578,-32849.10041,32858.7079
31-12-2021,1551.606102,925.237866,2993.162817,1914.975174,1,458068.9376,245973.5165,212095.4212,1283.512506,-33838.83772,33936.89555
31-01-2022,1765.227133,957.9210723,2846.669964,1203.206936,2,385941.1322,213928.8672,172012.2651,1845.532703,-34084.12358,35580.35857
28-02-2022,1011.354253,118.1977275,2841.732945,1092.342244,4,286898.5606,95497.56131,191400.9993,1764.544712,-35058.2681,37329.74927
31-03-2022,14647.75,17954.25,40518,37199,2,9299836,4649918,4649918,29802.05,8769.65,86777
30-04-2022,1384.236507,599.8464338,1899.264913,1310.575838,2,154046.3613,168404.42,-14358.05874,1308.811541,-37026.82542,38162.51817
31-05-2022,1543.196653,174.2679197,1807.973014,1372.801181,3,112991.1439,233688.4211,-120697.2772,1479.207013,-38225.35868,38597.69001
30-06-2022,1466.987043,1369.677418,2404.167393,1634.976746,2,475074.9923,227703.1852,247371.8071,1311.21731,-38490.65801,39366.88065
31-07-2022,1731.404301,122.3484378,2716.996286,1632.787022,5,289411.6216,111057.9108,178353.7107,1409.834589,-40001.0966,40451.08992
31-08-2022,1352.337833,1202.131315,2427.65154,1206.029502,5,412088.7824,113332.1171,298756.6653,1556.14292,-40004.99478,41672.71195
30-09-2022,1717.805621,979.5102805,2784.919269,1055.901523,3,233296.9163,139120.9243,94175.99205,2218.047018,-40081.38603,43401.7297
31-10-2022,1830.402824,781.719357,2916.701412,1850.844946,2,322490.1108,126895.1248,195594.986,2197.604896,-41150.51161,44467.58617
30-11-2022,1689.388201,1481.090224,2125.258198,1297.363054,2,290288.9922,170135.7564,120153.2358,2589.630043,-40966.78444,45295.48131
31-12-2022,1711.854068,830.577227,2288.804534,1304.161743,4,261975.0718,124358.4331,137616.6387,2997.322369,-41440.36896,46280.1241
31-01-2023,1677.170925,388.6136293,1511.415697,1753.87367,2,138800.5972,62940.64564,75859.95155,2920.619624,-42805.629,46037.66613
28-02-2023,1525.733958,1288.33089,1870.814897,1137.884085,1,219912.2977,138898.4563,81013.84135,3308.469497,-42655.1822,46770.59694
31-03-2023,1049.993481,205.0507279,2707.127902,1281.900047,3,104392.4514,123196.7255,-18804.27412,3076.562931,-43732.03152,48195.82479
30-04-2023,1332.224706,1429.004143,1966.821981,1509.069441,5,436523.873,120072.0383,316451.8347,2899.718196,-43812.09681,48653.57733
31-05-2023,1059.959864,59.98381007,2615.309752,1735.923045,2,410549.3423,53169.63953,357379.7027,2223.755015,-45488.03605,49532.96404
30-06-2023,1398.466879,445.0948307,2735.455999,1912.246642,4,232819.9349,182670.4986,50149.43631,1709.975252,-46955.18786,50356.1734
31-07-2023,1356.05118,101.7379047,1938.131698,1224.351215,2,138362.8041,134730.287,3632.517096,1841.675217,-48077.80117,51069.95388
31-08-2023,1161.66257,710.8599182,2897.358804,1633.660448,4,216273.1544,211975.3661,4297.788289,1369.677339,-49000.6017,52333.65224
30-09-2023,1329.114386,498.1931039,2682.696116,1347.098713,5,167614.2646,90559.78676,77054.47787,1351.693013,-49849.50731,53669.24964
31-10-2023,1695.591867,1201.43646,2430.583151,1579.361496,1,260034.5094,193629.0578,66405.45161,1467.923384,-50227.43234,54520.4713
30-11-2023,1854.453218,482.4592223,2423.409084,1092.897886,4,473804.5213,56805.81248,416998.7088,2229.478716,-50837.87101,55850.98249
31-12-2023,1104.337166,808.379603,2629.283363,1670.436391,2,346349.2899,134880.1052,211469.1848,1663.379492,-51699.9278,56809.82947
